method,dataset,delta,avg_time_ms,avg_candidates,construction_time_min,index_size_mb
<<<<<<< HEAD
LES3,lastfm,0.9,5.00445,127871,98.82,1.14
LES3,lastfm,0.8,5.58492,134003,98.82,1.14
LES3,lastfm,0.7,6.09542,140763,98.82,1.14
LES3,lastfm,0.6,6.7506,157724,98.82,1.14
LES3,lastfm,0.5,7.5404,192600,98.82,1.14
DualTrans,lastfm,0.9,7.85177,113738,1.88551,123.55
DualTrans,lastfm,0.8,9.72932,135753,1.88551,123.55
DualTrans,lastfm,0.7,12.9616,180693,1.88551,123.55
DualTrans,lastfm,0.6,16.1819,231792,1.88551,123.55
DualTrans,lastfm,0.5,23.5282,367520,1.88551,123.55
=======
LES3,lastfm,0.9,4.88183,127871,45.65,1
LES3,lastfm,0.8,5.4287,134003,45.65,1
LES3,lastfm,0.7,5.85955,140763,45.65,1
LES3,lastfm,0.6,6.53734,157724,45.65,1
LES3,lastfm,0.5,7.36341,192600,45.65,1
DualTrans,lastfm,0.9,7.3043,113738,1.88307,6.32
DualTrans,lastfm,0.8,9.35921,135753,1.88307,6.32
DualTrans,lastfm,0.7,12.5271,180693,1.88307,6.32
DualTrans,lastfm,0.6,15.6672,231792,1.88307,6.32
DualTrans,lastfm,0.5,22.8878,367520,1.88307,6.32
>>>>>>> a67531c (chore: add per-dataset results)
